被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
337,5100941,6182446,4580008,3668867,4945760,6193844
338,5099062,6182446,4580298,3669306,4945981,6195012
339,5099062,6182349,4580855,3669574,4946670,6195012
340,5100465,6183660,4580637,3669574,4947433,6193016
341,5100114,6183417,4580565,3669867,4947876,6192286
342,5098135,6184849,4580686,3669940,4947876,6194233
343,5098235,6185043,4580686,3670135,4948885,6194136
344,5099413,6185723,4580444,3669696,4948835,6192140
345,5097735,6185310,4580686,3669672,4948392,6193260
346,5097860,6184825,4580879,3669916,4947925,6194671
347,5099663,6184994,4581025,3670062,4947925,6192529
348,5099513,6184679,4581121,3669916,4947900,6192286
349,5097860,6184679,4580807,3669720,4949229,6194647
350,5097860,6185018,4581170,3669842,4949672,6194647
351,5099413,6185188,4581097,3669842,4949967,6193406
352,5099688,6185625,4581533,3669672,4949918,6192675
353,5097735,6185140,4581170,3669111,4949918,6194476
354,5098161,6186499,4581170,3669184,4949180,6194963
355,5100339,6187445,4581242,3668721,4948417,6193065
356,5098561,6188368,4581509,3668599,4947359,6192968
357,5097809,6188368,4581533,3668794,4947655,6194866
358,5100114,6188707,4581485,3669087,4947580,6193454
359,5099588,6188998,4581461,3668940,4948589,6192797
360,5097509,6188998,4581702,3668843,4948835,6192797
361,5097509,6188828,4581945,3668648,4948983,6194890
362,5097609,6189557,4581509,3668648,4948491,6193892
363,5098937,6189508,4581461,3668745,4948491,6191118
364,5097359,6189775,4581388,3668648,4947630,6192286
365,5097484,6190042,4581388,3668574,4947187,6192578
366,5100064,6190212,4581485,3668696,4946473,6190022
367,5099488,6191061,4581412,3668891,4947113,6190655
368,5098336,6191692,4581146,3669013,4946916,6192408
369,5100414,6192008,4581340,3669013,4947236,6191726
370,5101266,6191959,4581315,3668550,4946990,6190606
371,5099212,6191959,4581097,3668501,4946350,6190606
372,5099212,6192639,4581242,3668501,4945637,6192821
373,5099563,6191425,4581388,3668233,4944431,6192140
374,5101016,6191814,4581630,3668038,4944431,6190460
375,5099738,6191984,4581921,3667623,4943816,6190655
376,5099037,6192566,4582042,3667233,4942562,6192432
377,5101291,6192687,4582042,3667136,4942266,6190558
378,5101392,6193488,4582042,3666916,4941750,6190412
379,5099939,6194774,4581896,3667209,4941947,6192602
380,5100966,6196061,4582138,3666989,4942193,6191848
381,5102619,6198269,4582163,3667111,4941406,6190485
382,5101767,6198269,4581727,3666916,4940765,6190485
383,5101767,6198633,4581557,3666916,4940741,6192359
384,5102494,6199361,4580637,3666624,4940200,6193186
385,5105875,6199313,4580129,3666965,4940200,6191458
386,5105975,6201764,4579136,3667087,4940323,6191580
387,5104097,6202031,4578071,3667087,4940889,6194574
388,5106100,6203851,4578071,3667404,4940864,6193844
389,5107002,6204385,4577659,3667404,4940765,6192262
390,5105023,6205453,4577562,3667574,4940495,6194136
391,5105224,6206157,4576981,3667989,4939831,6194136
392,5107303,6206254,4576594,3667550,4938232,6191678
393,5106877,6206254,4576327,3666941,4937346,6191678
394,5106877,6206739,4576351,3666941,4936952,6191896
395,5105950,6207030,4576255,3666916,4936952,6193625
396,5108004,6207807,4576085,3666550,4936387,6192529
397,5108455,6208656,4576376,3666331,4936067,6191264
398,5107077,6208365,4576569,3666014,4936042,6193795
399,5107678,6208462,4576569,3666038,4935722,6196375
400,5109582,6208243,4576908,3666087,4934516,6197227
401,5107378,6208001,4577611,3666355,4932155,6201195
402,5106651,6207685,4578095,3667892,4929572,6205211
403,5108129,6207467,4578579,3670599,4926299,6204918
404,5107628,6207661,4578894,3673818,4923273,6204918
405,5107628,6207661,4578773,3677012,4921231,6207036
406,5105123,6207467,4579160,3677012,4918968,6210249
407,5106526,6206521,4578724,3680499,4918033,6210006
408,5106751,6206691,4578676,3683377,4918033,6210127
409,5104247,6207419,4578748,3685938,4916311,6212367
410,5104998,6208438,4578748,3687523,4915179,6213121
411,5106952,6208438,4578240,3688596,4915499,6211053
412,5106201,6208778,4577586,3689425,4914293,6211807
413,5105023,6209554,4577078,3690059,4913580,6212732
414,5107203,6209627,4577175,3690181,4911809,6210492
415,5107227,6209578,4576497,3690863,4910775,6210492
416,5107227,6209578,4575988,3690717,4908389,6209835
417,5105224,6209943,4575431,3690717,4905732,6211929
418,5106100,6209991,4575020,3690059,4904354,6211515
419,5108104,6210671,4575286,3689059,4904354,6208934
420,5106702,6211350,4575165,3687620,4903124,6209592
421,5107478,6210622,4575165,3686571,4902189,6208764
422,5109908,6208996,4574802,3685084,4900910,6205990
423,5109933,6207661,4574899,3684109,4900565,6206014
424,5108781,6205962,4574584,3682865,4898991,6207620
425,5110509,6204263,4574051,3681646,4898130,6206501
426,5110283,6202783,4574390,3680889,4897096,6206501
427,5110283,6202783,4574197,3680889,4896162,6206306
428,5107603,6201715,4574874,3680182,4895005,6208618
429,5107603,6200211,4574559,3678671,4895005,6208302
430,5108430,6199677,4574559,3677232,4893258,6206647
431,5106100,6197420,4574874,3676110,4891807,6208058
432,5104898,6196376,4574874,3675427,4889051,6207645
433,5106877,6193585,4574438,3674647,4886050,6205113
434,5106050,6189848,4573857,3674110,4882655,6205089
435,5103295,6186766,4573301,3673720,4878472,6207231
436,5104547,6181864,4573446,3672866,4873576,6207231
437,5104547,6176282,4573663,3671452,4867844,6206647
438,5105324,6176282,4573833,3671452,4860857,6205503
439,5103295,6170239,4573688,3670281,4854190,6206355
440,5103445,6163371,4572453,3670355,4854190,6206062
441,5104948,6155435,4571775,3670574,4846538,6202874
442,5104723,6148009,4570613,3671037,4838346,6201048
443,5102919,6141626,4570613,3671745,4829907,6201754
444,5105474,6136869,4569862,3672330,4821099,6197957
445,5106501,6132622,4568216,3673379,4810741,6196229
446,5105649,6129030,4567780,3674842,4800925,6196229
447,5106176,6121871,4567295,3676451,4779595,6196229
448,5106176,6113741,4566303,3678524,4730390,6193381
449,5108079,6113741,4565334,3678524,4722074,6189219
450,5106301,6103961,4564826,3679719,4715014,6188318
451,5106276,6092263,4564026,3680548,4715014,6186615
452,5108380,6081610,4563712,3681768,4708666,6183231
453,5109958,6071052,4562452,3683084,4703253,6180919
454,5109307,6060811,4561678,3684499,4697816,6180554
455,5112087,6046638,4561678,3686108,4692256,6177658
456,5114291,6040935,4560951,3687693,4685367,6174493
457,5112738,6035669,4560467,3689474,4679020,6174639
458,5113740,6029019,4559571,3691180,4673657,6174639
459,5113740,6023291,4558312,3691180,4668859,6172984
460,5116295,6023291,4556641,3691766,4664652,6169674
461,5115543,6017370,4555939,3692839,4664652,6168433
462,5115193,6013317,4555818,3693229,4661356,6168676
463,5118624,6011812,4554390,3692936,4659191,6166144
464,5124084,6013196,4553566,3693083,4655943,6165098
465,5129620,6016666,4552767,3693376,4650580,6165852
466,5138036,6028024,4552767,3694546,4640172,6164830
467,5146727,6043653,4552307,3695253,4625903,6162177
468,5151612,6059355,4551702,3696497,4603983,6163029
469,5157197,6073697,4551363,3697326,4573451,6163029
470,5157197,6086633,4550999,3697326,4543313,6162664
471,5163384,6086633,4551217,3698570,4513273,6159768
472,5167116,6097796,4553057,3699691,4513273,6158940
473,5168018,6105902,4554220,3700276,4490467,6159694
474,5170948,6111266,4555648,3701374,4470612,6158404
475,5171975,6116653,4556544,3704032,4458237,6156579
476,5170397,6122987,4556835,3707081,4388563,6157212
477,5171700,6126240,4556835,3710007,4350946,6155970
478,5175908,6126531,4557392,3712958,4334561,6154388
479,5178212,6122429,4558409,3716567,4323686,6156214
480,5182470,6114493,4560080,3719127,4317413,6156214
481,5182470,6101340,4562065,3719127,4314190,6157285
482,5190861,6101340,4564680,3721786,4324449,6157260
483,5201531,6082459,4568240,3725175,4324449,6160912
484,5210273,6056831,4572695,3728687,4340761,6169723
485,5220668,6022345,4578894,3729662,4353037,6177682
486,5231463,5971939,4585867,3731271,4362731,6191215
487,5243160,5902675,4593955,3733808,4370333,6208642
488,5259366,5846542,4593955,3735588,4376115,6222516
489,5278678,5802616,4605215,3736686,4384504,6234638
