被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
289,4375038,4386932,3573967,2956421,4272710,5066597
290,4372108,4386519,3573870,2956909,4272538,5063092
291,4376265,4387247,3573991,2956567,4272612,5063092
292,4379647,4387490,3573991,2956445,4272563,5059709
293,4373886,4386616,3574427,2956251,4272587,5064090
294,4372133,4386956,3574088,2956104,4272193,5065574
295,4378645,4386956,3573918,2955982,4272316,5060001
296,4378645,4386762,3574330,2955860,4272464,5058029
297,4379071,4387029,3573943,2955665,4271899,5063773
298,4371081,4386519,3574209,2955665,4271899,5063798
299,4371382,4386810,3574161,2955324,4271947,5057421
300,4378194,4386640,3574354,2954860,4271923,5056788
301,4377067,4386932,3574499,2954592,4272021,5063554
302,4369879,4386713,3574839,2954373,4272267,5063554
303,4373010,4387005,3574839,2954617,4272316,5063749
304,4374813,4386786,3574257,2954885,4272169,5057250
305,4368050,4387175,3573967,2955080,4272243,5057128
306,4367374,4387175,3574016,2955177,4271529,5063554
307,4367374,4386592,3574257,2955226,4271800,5062507
308,4373260,4386422,3574476,2955226,4271628,5056739
309,4372634,4386762,3575153,2955470,4271628,5060487
310,4365320,4386835,3574718,2955007,4271603,5062605
311,4365545,4386277,3574669,2954446,4271578,5056423
312,4371181,4386373,3574766,2953909,4271087,5056423
313,4367875,4386786,3574354,2954275,4271210,5056033
314,4363516,4386325,3574354,2954373,4270963,5062653
315,4370254,4386179,3574476,2954812,4270963,5062215
316,4370354,4385864,3574572,2955153,4271012,5055230
317,4363166,4385864,3575129,2954909,4270742,5055692
318,4363166,4386713,3575178,2955153,4270471,5060439
319,4362765,4386835,3575226,2955153,4270767,5056423
320,4369628,4386447,3575057,2954934,4270767,5054110
321,4367624,4385815,3575226,2954738,4270422,5059611
