被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
320,4133405,4918296,3709928,3141977,4840412,4784030
321,4134206,4917811,3709202,3141977,4840585,4783835
322,4134883,4917835,3708572,3141732,4840831,4782983
323,4135459,4917859,3708064,3141732,4840732,4781352
324,4134607,4917762,3707797,3141660,4840560,4780695
325,4134231,4917762,3707870,3141391,4840560,4780743
326,4135158,4917374,3707919,3141464,4840732,4780135
327,4135158,4917423,3708209,3141318,4841421,4779161
328,4135033,4917519,3708209,3141123,4841027,4779161
329,4133781,4917350,3707967,3140855,4841126,4778699
330,4133530,4917107,3707725,3140782,4841691,4779113
331,4134257,4917374,3707313,3140196,4841273,4779088
332,4134031,4916937,3707047,3139782,4841716,4779210
333,4133280,4917058,3707289,3139294,4841716,4778918
334,4133405,4916646,3707434,3139294,4842380,4779210
335,4133380,4916864,3707337,3139586,4842380,4780038
336,4133856,4916864,3707119,3139343,4842184,4780330
337,4134081,4916476,3707023,3140074,4842159,4779843
338,4134081,4916937,3707459,3139928,4842233,4781109
339,4133530,4917010,3707459,3140001,4842307,4781109
340,4134206,4916889,3707434,3140245,4843143,4782325
341,4135284,4916355,3707313,3140538,4843143,4783372
342,4135684,4916500,3707192,3140855,4843364,4783761
343,4134757,4916525,3707967,3140757,4843610,4784297
344,4134182,4917034,3707773,3140757,4843857,4784857
345,4134182,4916403,3708233,3140733,4843783,4786147
346,4134206,4916379,3708693,3140635,4843783,4786780
347,4133630,4916379,3709105,3140855,4844201,4785904
348,4133505,4915966,3709008,3141245,4844250,4786828
349,4133505,4917058,3709492,3141148,4844004,4787656
350,4134081,4916233,3708960,3141538,4844201,4787656
351,4134582,4916743,3708960,3141928,4844004,4787267
352,4134457,4916428,3708960,3142269,4844078,4786853
353,4134056,4916816,3708548,3142342,4844496,4787121
354,4133756,4916694,3708669,3142123,4844619,4787802
355,4134657,4916088,3708596,3142123,4844718,4788703
356,4135158,4916428,3708742,3142245,4844840,4789385
357,4134908,4916428,3708863,3142464,4844840,4789214
358,4134507,4916428,3708838,3142367,4844742,4789262
359,4134908,4916476,3709226,3142635,4844201,4789993
360,4134908,4916937,3709153,3142903,4844127,4789603
361,4136135,4916694,3709226,3143049,4844398,4789603
362,4135509,4916621,3709226,3143440,4844103,4788970
363,4136085,4916889,3709226,3143708,4844398,4788362
364,4135709,4916403,3709347,3143586,4844176,4788605
365,4136586,4916840,3709178,3143586,4844373,4789360
366,4136912,4916889,3709105,3143684,4844398,4789044
367,4135559,4917180,3709202,3143464,4844398,4789287
368,4136085,4916840,3708766,3143245,4844718,4789579
369,4136962,4916840,3708524,3143171,4844693,4790747
370,4136861,4916889,3707919,3142708,4844422,4790723
371,4136861,4917131,3708112,3143123,4844840,4790236
372,4137062,4916379,3708088,3143269,4844792,4790236
373,4136536,4916621,3708088,3143878,4844915,4790212
374,4137187,4916694,3708257,3144147,4845038,4790869
375,4137713,4917641,3708257,3144342,4845087,4790893
376,4138490,4916694,3708233,3144342,4845382,4790358
377,4139016,4917228,3708378,3144293,4845283,4790455
378,4139792,4917932,3708088,3144342,4845283,4790723
379,4141445,4917811,3708330,3143635,4845481,4790260
380,4140844,4917811,3708064,3143318,4845603,4790260
381,4140844,4918369,3707604,3142708,4845554,4789749
382,4140844,4917811,3707386,3142781,4845800,4789725
383,4140894,4918272,3707361,3142952,4845382,4789725
384,4140318,4918442,3707361,3142684,4845726,4789968
385,4141345,4918660,3707095,3142757,4845358,4789360
386,4141195,4918927,3707459,3143025,4845628,4788362
387,4140744,4918321,3707434,3143025,4845579,4788289
388,4140168,4918151,3707749,3142684,4845481,4788800
389,4140669,4918587,3708040,3142318,4845481,4788289
390,4141420,4918854,3707967,3142123,4845210,4787461
391,4140819,4918854,3708185,3142050,4845259,4787267
392,4140819,4919049,3707846,3142171,4845481,4787388
393,4140819,4919121,3707579,3141952,4845013,4787388
394,4142072,4918757,3707507,3141684,4844988,4787583
395,4142622,4918466,3707507,3141221,4845333,4787680
396,4142422,4918466,3707313,3140562,4845210,4787437
397,4142998,4919097,3707313,3140562,4845087,4787680
398,4143148,4918733,3706925,3140074,4844792,4788581
399,4144726,4918369,3706998,3140074,4844422,4789262
400,4144927,4918224,3706756,3139953,4844422,4789408
401,4144501,4918684,3707071,3139757,4844324,4789652
402,4145728,4918684,3706853,3139660,4844619,4790601
403,4146906,4917762,3706950,3139392,4844963,4790650
404,4146906,4918321,3706586,3139245,4844570,4790650
405,4147882,4918684,3706829,3138953,4844939,4790601
406,4147957,4918442,3706829,3138953,4844496,4789701
407,4148033,4918054,3706780,3139050,4844324,4789360
408,4149210,4918417,3706780,3139050,4844078,4789044
409,4150187,4918393,3706005,3138928,4843980,4788581
410,4151114,4918029,3705667,3138855,4843980,4787242
411,4151114,4918078,3705594,3138928,4843881,4787388
412,4151715,4918078,3705473,3139245,4843487,4788094
413,4152617,4918078,3705448,3139294,4843512,4788021
414,4152617,4918563,3706030,3139538,4843463,4787291
415,4152617,4918442,3706078,3139684,4843168,4787291
416,4152116,4918563,3706684,3139099,4842897,4787413
417,4151088,4917787,3706684,3138611,4842651,4788167
418,4151088,4917641,3706296,3138611,4842676,4788313
419,4149836,4918005,3705957,3137733,4842602,4788338
420,4149335,4918175,3705691,3137294,4842971,4787826
421,4148358,4918151,3705739,3136880,4842971,4787340
422,4148934,4918199,3705400,3136319,4842577,4787705
423,4149235,4917665,3705013,3136685,4843069,4786123
424,4149811,4917665,3704577,3136831,4843168,4784882
425,4149560,4918466,3704771,3137172,4843586,4785028
426,4149560,4917956,3705328,3137294,4843537,4785028
427,4150262,4918054,3705207,3137709,4843660,4785076
428,4151264,4917908,3705134,3137904,4843955,4785295
429,4151539,4917956,3705134,3137904,4843930,4784346
430,4151715,4917714,3705352,3138148,4844275,4784784
431,4151214,4917617,3705013,3137879,4844201,4784784
432,4151715,4917956,3704674,3138221,4844201,4784273
433,4151664,4917738,3704238,3138318,4843709,4783348
434,4151063,4917568,3704092,3138050,4843316,4781887
435,4151139,4917568,3704190,3137319,4843242,4781011
436,4152491,4917058,3704335,3136294,4842380,4780622
437,4152491,4916889,3704214,3134661,4841470,4780622
438,4152541,4917641,3704117,3133149,4841077,4779794
439,4152516,4917544,3704238,3131856,4841199,4778553
440,4152316,4916767,3704238,3131856,4840289,4777677
441,4151339,4917131,3704359,3130564,4839699,4778017
442,4152742,4916816,3704601,3128881,4839699,4777628
443,4152216,4917034,3704916,3127711,4838739,4776557
444,4151589,4917253,3704892,3126662,4837927,4776314
445,4151615,4917034,3705134,3125784,4836943,4776484
446,4151890,4917034,3705109,3125174,4836427,4775973
447,4151890,4916500,3704868,3124516,4836501,4775973
448,4151890,4916621,3704480,3123662,4836230,4774269
449,4151414,4916961,3704868,3123053,4836820,4773149
450,4151139,4916961,3704649,3123053,4836353,4772468
451,4150788,4916913,3704649,3122931,4836230,4772614
452,4151038,4916743,3704504,3122785,4836058,4772273
453,4150863,4916816,3704674,3123004,4836058,4770594
454,4150913,4916767,3704504,3123004,4835836,4770520
455,4151615,4917253,3704577,3123150,4835812,4770934
456,4152666,4917083,3704722,3122882,4835541,4770642
457,4152591,4917083,3705400,3122638,4836279,4770374
458,4151715,4917228,3705957,3123077,4835492,4770374
459,4151715,4917228,3706175,3123492,4835393,4769449
460,4150913,4918248,3705957,3123662,4835221,4769766
461,4151088,4918054,3706030,3123662,4834336,4769912
462,4150788,4917714,3706030,3123858,4834606,4769426
463,4149536,4918248,3706102,3123882,4834311,4768403
464,4148934,4918175,3705982,3123687,4834311,4767527
465,4148309,4917859,3705691,3123150,4834016,4767307
466,4148509,4918321,3705618,3122370,4833597,4767064
467,4149260,4917859,3705328,3121199,4832687,4765385
468,4148108,4917859,3705473,3119858,4832540,4764655
469,4147131,4918369,3705497,3118883,4832417,4764655
470,4147131,4918782,3705812,3118395,4832318,4765215
471,4148509,4919000,3706393,3118395,4831875,4764703
472,4148934,4918660,3707507,3117712,4831309,4764143
473,4148233,4918466,3707507,3117029,4830866,4763997
474,4147532,4918612,3707628,3116493,4830866,4763632
475,4147882,4918563,3707773,3115566,4830202,4764703
476,4148358,4919097,3707386,3114981,4829981,4764046
477,4148258,4918660,3706829,3114469,4829095,4763413
478,4147707,4918563,3706780,3113542,4828775,4763170
479,4148033,4918563,3706950,3112250,4828210,4763973
480,4147908,4918029,3706974,3110152,4827324,4763973
481,4147908,4919097,3707386,3108591,4827275,4763900
482,4147206,4918636,3707700,3108591,4827225,4763681
483,4146630,4919097,3708161,3107129,4827201,4764046
484,4147231,4919170,3708596,3105544,4826635,4764874
485,4147181,4918684,3708596,3104275,4826635,4765117
486,4145829,4919170,3708717,3102544,4826045,4764289
487,4146705,4919582,3708572,3101812,4825405,4764557
488,4147482,4919412,3708451,3100471,4823904,4765093
489,4149435,4919146,3708669,3099154,4823953,4765093
490,4150362,4919146,3708548,3098300,4823141,4764046
491,4150538,4919607,3708815,3097301,4822600,4764046
492,4150538,4919389,3708669,3096569,4822256,4764192
493,4151489,4919146,3708451,3096569,4822009,4764874
494,4153017,4920044,3708209,3096399,4822329,4764752
495,4154795,4919582,3707870,3095984,4822206,4764533
496,4154570,4919315,3707870,3095545,4822206,4762902
497,4156248,4920335,3707676,3095131,4821911,4763024
498,4156850,4920456,3707725,3094082,4821813,4763145
499,4157250,4920869,3707942,3092887,4821961,4761977
500,4155472,4920456,3707725,3092326,4821813,4760736
501,4155222,4920456,3707919,3092350,4822059,4759421
502,4154670,4920432,3708064,3092740,4822428,4759421
503,4154670,4920845,3708233,3092740,4822772,4759348
504,4152792,4920480,3708185,3093131,4823633,4758570
505,4151564,4920505,3707676,3093570,4823830,4756988
506,4149059,4921087,3707991,3093692,4824248,4755552
507,4147607,4921112,3707991,3094008,4824248,4755065
508,4147456,4920966,3707652,3093277,4824322,4754334
509,4147106,4920723,3708064,3092765,4823781,4752314
510,4144802,4920505,3708040,3092497,4824199,4752071
511,4143975,4921063,3708088,3091985,4823781,4752119
512,4143224,4921063,3708161,3091790,4823781,4752119
513,4141871,4920845,3707773,3091741,4823633,4751559
514,4141871,4920262,3707531,3091741,4823486,4750367
515,4138565,4920869,3707047,3091765,4822944,4750318
516,4137112,4920310,3706441,3091985,4822502,4750269
517,4134783,4919680,3705982,3092180,4822502,4750464
518,4132002,4919534,3705982,3092082,4822329,4749734
