被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
2917,3691191,5141333,3759785,3271614,4671492,4631197
2918,3718443,5135460,3759785,3266542,4670680,4598046
2919,3731893,5135460,3754990,3262225,4671910,4565113
2920,3737229,5129781,3758308,3257592,4671910,4535370
2921,3737229,5125752,3763175,3252983,4675846,4515337
2922,3743490,5121845,3764312,3250008,4679364,4515337
2923,3749852,5116773,3766080,3248569,4680742,4503094
2924,3748399,5112575,3768139,3247618,4675871,4500076
2925,3745745,5106896,3768550,3248032,4672845,4502681
2926,3742163,5100101,3768526,3247813,4669991,4510518
2927,3740059,5091704,3771892,3247448,4671418,4514875
2928,3737779,5082336,3778211,3247448,4678602,4514218
2929,3735901,5074983,3778211,3248545,4686819,4513852
2930,3734197,5074983,3784241,3252593,4686819,4514364
2931,3735650,5066124,3790197,3258104,4695012,4513706
2932,3735650,5053844,3794895,3263371,4702368,4510494
2933,3739833,5041468,3797437,3267249,4710216,4510494
2934,3742188,5031153,3799060,3272492,4717474,4506575
2935,3739508,5016203,3802522,3276565,4741658,4504701
2936,3735450,4997905,3807971,3276930,4759175,4505066
2937,3727109,4979364,3816276,3272687,4773420,4503727
2938,3714911,4960046,3824170,3272687,4775289,4503605
2939,3699131,4943931,3830538,3266713,4768893,4501317
2940,3680846,4927647,3830538,3265006,4768893,4499687
2941,3663914,4927647,3835938,3261762,4768893,4496133
2942,3648284,4910780,3839012,3254178,4776569,4489951
2943,3648284,4895588,3840030,3242497,4783408,4484352
2944,3632454,4881003,3840368,3233742,4786164,4484352
2945,3615673,4870300,3840223,3236132,4790518,4483184
2946,3599767,4860398,3839473,3241156,4797235,4481285
2947,3584238,4851831,3837947,3241741,4801836,4479338
2948,3568834,4845327,3835719,3236571,4807765,4478852
2949,3555483,4840328,3832450,3236571,4816622,4482308
2950,3541282,4836421,3828964,3227377,4825577,4485180
2951,3525276,4833169,3828964,3214233,4834138,4486178
2952,3506891,4833169,3824218,3204771,4834138,4487930
2953,3490310,4830863,3820876,3202796,4842233,4491216
2954,3490310,4831712,3819303,3206576,4848703,4494332
2955,3473553,4831688,3817559,3215233,4854608,4494332
2956,3451511,4831664,3814533,3224866,4862456,4501537
2957,3423909,4831178,3810344,3233669,4871879,4505577
2958,3389945,4833169,3804750,3239571,4882384,4508108
2959,3353500,4835353,3799931,3239571,4892963,4507232
2960,3316154,4839382,3792958,3245764,4899114,4503167
2961,3289329,4844988,3785282,3251056,4902411,4504433
2962,3262052,4853093,3785282,3253080,4902411,4503703
2963,3233824,4853093,3777897,3257811,4904723,4496425
2964,3233824,4860835,3769131,3267322,4902337,4501755
2965,3215839,4869548,3760874,3272248,4903222,4501755
2966,3238207,4876974,3753949,3278954,4901918,4510932
2967,3222376,4911338,3746927,3290099,4899335,4520838
2968,3163490,4947135,3739663,3302219,4893701,4538217
2969,3095937,4995599,3732931,3312534,4889765,4551361
2970,3052780,5061174,3730897,3312534,4882335,4564310
2971,3031740,5107333,3734650,3320826,4871977,4569786
2972,3044464,5133932,3743247,3326727,4859627,4580448
2973,3064126,5148323,3755111,3332775,4859627,4591109
2974,3072016,5148323,3755111,3338725,4845529,4599530
2975,3072016,5153152,3770245,3345310,4830301,4604642
2976,3068835,5159486,3782642,3349967,4813989,4604642
2977,3075022,5167058,3785694,3353162,4797653,4598898
2978,3094383,5172179,3781117,3356722,4779718,4588042
2979,3122312,5167204,3768671,3357698,4760257,4569129
2980,3135236,5157035,3760027,3357698,4739788,4554355
2981,3136739,5146624,3759034,3356942,4717646,4577405
2982,3134660,5142013,3760075,3354210,4693388,4635529
2983,3132556,5139246,3759954,3350333,4666423,4700859
2984,3144378,5133300,3768986,3345407,4666423,4748858
2985,3157353,5133300,3768986,3339043,4637393,4794423
2986,3157353,5127015,3778696,3331727,4609100,4834949
2987,3166420,5121142,3780100,3324093,4580388,4834949
2988,3170653,5118230,3772545,3315948,4553670,4862673
2989,3177792,5119686,3763247,3307364,4528896,4887622
2990,3191869,5123375,3756298,3297464,4505548,4903784
2991,3212207,5124928,3754022,3297464,4484464,4920408
2992,3233047,5128107,3754821,3286343,4468472,4935961
2993,3253911,5130558,3754555,3276516,4459443,4947060
2994,3266260,5132232,3755136,3264371,4459443,4959012
2995,3268815,5132136,3757509,3252202,4456368,4971182
2996,3267412,5132136,3757509,3241351,4456318,4981453
2997,3267412,5132378,3761383,3232133,4458557,4992406
2998,3278032,5132111,3764555,3228280,4467906,4992406
2999,3276955,5135509,3766129,3227548,4478116,5000414
3000,3269992,5140921,3770197,3233864,4487317,5006548
3001,3262653,5146600,3777461,3241375,4500012,5012317
3002,3254212,5154026,3780875,3241375,4505228,5017160
3003,3248651,5161039,3782328,3242765,4503260,5024073
3004,3245996,5164389,3785597,3237547,4535932,5029209
3005,3241563,5165214,3788139,3229913,4535932,5032665
3006,3236954,5163830,3791505,3227280,4603343,5035634
3007,3234374,5163830,3791505,3233572,4640468,5034564
3008,3234374,5163005,3798406,3235718,4688590,5034564
3009,3230517,5162302,3806154,3228719,4714226,5034247
3010,3225007,5160506,3813903,3220037,4732285,5031959
3011,3217718,5157278,3819956,3218111,4737574,5028795
3012,3207198,5155069,3822717,3218111,4739911,5024171
3013,3195776,5152667,3824847,3218501,4735212,5020154
3014,3185757,5149584,3828092,3221403,4733785,5018158
3015,3176114,5145507,3830973,3226207,4732432,5015627
3016,3166044,5143081,3831531,3219500,4732432,5013899
3017,3165469,5139707,3833782,3195382,4732506,5010978
3018,3167748,5139707,3833782,3169265,4735433,5004576
3019,3167748,5136528,3836228,3150024,4736885,5004576
3020,3174085,5132208,3837487,3136636,4736639,4997859
3021,3184630,5131068,3838165,3129588,4736713,4990338
3022,3200360,5130509,3838069,3135417,4733908,4982621
3023,3223203,5131529,3836785,3135417,4727290,4974200
3024,3240762,5132475,3836228,3149707,4722616,4966532
3025,3258395,5133713,3835211,3165948,4719098,4959279
3026,3287425,5135339,3834218,3176898,4719098,4951174
3027,3310744,5136334,3832330,3181970,4716465,4943361
3028,3288502,5138567,3832160,3181263,4716121,4935377
3029,3262127,5138567,3832160,3181970,4715432,4929122
3030,3262127,5141042,3836034,3182921,4716121,4929122
3031,3279585,5140678,3834557,3187359,4717031,4921625
3032,3276229,5137596,3827051,3192286,4717744,4909430
3033,3283543,5127354,3823080,3192286,4718753,4896652
3034,3305785,5113570,3816518,3198992,4717720,4885504
3035,3346988,5097625,3811360,3202357,4715185,4881463
3036,3358334,5096679,3808576,3206405,4712775,4878957
3037,3363469,5101338,3811869,3209819,4712775,4874332
3038,3375166,5085345,3817656,3216160,4710019,4866373
3039,3409281,5077628,3827947,3220379,4705517,4856782
3040,3467892,5077628,3833444,3224792,4701974,4851379
3041,3467892,5072677,3833444,3230182,4698136,4851379
3042,3521870,5074667,3831119,3235132,4696069,4849432
3043,3588145,5078453,3825405,3238254,4694446,4849602
3044,3647859,5073648,3819399,3238254,4692551,4855225
3045,3700759,5065809,3814581,3240668,4689747,4857416
3046,3731994,5054791,3814678,3242033,4685933,4846462
3047,3756866,5051369,3823032,3241400,4679610,4823436
3048,3779308,5053432,3834364,3239327,4679610,4790698
3049,3790805,5062872,3838988,3236498,4670680,4760468
3050,3794838,5072531,3832669,3232718,4660937,4738002
3051,3793886,5072531,3817293,3229158,4651834,4711958
3052,3793886,5080030,3817293,3223671,4644454,4711958
3053,3793260,5080030,3799060,3218696,4638180,4677492
3054,3788025,5075274,3790246,3218696,4633235,4642369
3055,3782865,5070833,3777243,3213136,4629151,4608268
3056,3775726,5069012,3764385,3208722,4626125,4583734
3057,3766559,5066853,3756855,3204600,4624673,4580642
3058,3756114,5067532,3751794,3199626,4624673,4575385
3059,3743565,5067216,3751867,3191749,4630184,4563677
3060,3727460,5066610,3753199,3190895,4635400,4554428
3061,3711956,5066246,3757388,3190188,4644085,4549049
3062,3696251,5066246,3762473,3193700,4653606,4549049
3063,3696251,5062630,3762473,3198455,4665218,4548416
3064,3688060,5058844,3765281,3208112,4676855,4550193
3065,3681047,5053019,3764337,3208112,4688049,4553016
3066,3673608,5046175,3766516,3216501,4697841,4557130
3067,3669800,5039647,3775039,3226426,4710807,4559831
3068,3668248,5037876,3785936,3236181,4722345,4562411
3069,3663714,5027561,3793297,3242302,4722345,4566963
3070,3663238,5016640,3794362,3242716,4740157,4568496
3071,3652718,5004579,3793612,3238083,4768056,4569543
3072,3649988,4993197,3792570,3228694,4769975,4569421
3073,3644102,4993197,3791626,3218013,4775511,4569421
3074,3644102,4978174,3791626,3209429,4775855,4567766
3075,3631352,4961647,3793563,3202357,4784638,4566379
3076,3620432,4945703,3797486,3202357,4798096,4566282
3077,3611815,4931505,3802861,3198675,4802475,4567815
3078,3602247,4918158,3809254,3197992,4805206,4570322
3079,3597213,4905198,3816615,3203893,4811676,4572927
3080,3591001,4890880,3820101,3210063,4811676,4575287
3081,3584338,4876270,3821118,3207454,4813030,4578574
3082,3571389,4861757,3819109,3198699,4809930,4581008
3083,3555108,4848943,3817535,3187677,4804813,4580229
3084,3535596,4838411,3816470,3177337,4801097,4580229
3085,3535596,4838411,3816470,3164851,4804074,4578792
3086,3514380,4830305,3816276,3164851,4810668,4576918
3087,3501882,4823291,3816712,3158852,4813300,4573584
3088,3483672,4817661,3814920,3160778,4813940,4569932
3089,3464862,4813244,3810634,3169972,4812464,4566768
3090,3442820,4808366,3804072,3180043,4812464,4569884
3091,3420878,4808487,3796977,3188774,4812931,4571637
3092,3397960,4809846,3788866,3194554,4815662,4574533
3093,3377546,4812152,3781190,3198040,4817925,4576310
3094,3360013,4818195,3774047,3200016,4819967,4578549
3095,3341277,4823049,3768066,3202138,4819967,4578549
3096,3341277,4823049,3768066,3206332,4819205,4572853
3097,3321615,4828776,3763950,3206332,4817876,4563507
3098,3281940,4839867,3757872,3213136,4816203,4565016
3099,3264807,4854962,3749034,3220890,4811923,4562095
3100,3229465,4871052,3741116,3228402,4806805,4554793
3101,3225833,4889739,3732641,3234254,4806805,4547661
3102,3252408,4941893,3727023,3238473,4805674,4543353
3103,3303029,5008049,3725934,3243448,4798489,4545446
3104,3259146,5098863,3729638,3247496,4793446,4544181
3105,3171480,5155749,3736539,3254593,4785697,4544181
3106,3094860,5175504,3744941,3262176,4774133,4547515
3107,3094860,5175504,3752859,3262176,4764022,4554574
3108,3069962,5187493,3752859,3266713,4753172,4564456
3109,3061972,5193633,3758719,3270907,4740551,4581129
3110,3053932,5193851,3763369,3274345,4726454,4601332
3111,3052655,5196375,3768622,3275491,4708715,4619708
3112,3055385,5193463,3768284,3275833,4708715,4639083
3113,3057639,5182542,3757702,3276394,4689230,4647091
3114,3064828,5165262,3752859,3277004,4669991,4650645
3115,3086569,5150556,3757339,3277759,4649669,4635140
3116,3112994,5142790,3760971,3278174,4629323,4635140
3117,3127697,5140120,3761794,3276857,4607525,4632390
3118,3127697,5140120,3772570,3276857,4586269,4644487
3119,3124466,5144852,3772570,3274565,4565332,4659164
3120,3124816,5146090,3776565,3271151,4545552,4689005
3121,3144779,5143590,3764288,3266981,4527788,4720818
3122,3164717,5136698,3742859,3262981,4527788,4738075
3123,3173108,5130825,3725062,3258519,4512707,4752192
3124,3181324,5126894,3716151,3253861,4495978,4773490
3125,3188462,5124126,3715958,3249471,4485595,4794958
3126,3201838,5123738,3715860,3244179,4483110,4815063
3127,3223128,5122913,3712834,3237571,4481191,4815063
3128,3245671,5121870,3713391,3237571,4478289,4831347
3129,3245671,5121870,3716490,3231328,4474500,4849602
3130,3253110,5121312,3716490,3227012,4472015,4871241
3131,3244794,5120438,3720243,3224085,4471646,4891297
3132,3240035,5121797,3725425,3222988,4470022,4911694
3133,3238382,5122477,3733416,3223695,4470022,4929973
3134,3234149,5124321,3740437,3226499,4469752,4943677
3135,3223629,5125874,3745232,3230158,4472163,4956456
3136,3211481,5125729,3746758,3235279,4473122,4968480
3137,3199859,5126311,3748162,3241034,4475262,4979336
3138,3187009,5127087,3749663,3244082,4477526,4979336
3139,3174786,5127330,3750632,3244082,4479519,4989704
3140,3174786,5127330,3755862,3247423,4488179,5002799
3141,3161186,5126626,3755862,3251349,4542575,5016527
3142,3148437,5124806,3763247,3252471,4608411,5029038
3143,3135086,5122622,3776734,3249910,4671073,5040989
3144,3121610,5118618,3788696,3245423,4671073,5049460
3145,3105480,5114783,3794144,3226670,4713513,5056421
3146,3088222,5108765,3796929,3197894,4722837,5060997
3147,3081334,5102794,3799157,3166217,4726749,5064575
3148,3070438,5098960,3801069,3153438,4728495,5068811
3149,3065880,5096145,3804193,3151316,4725617,5068811
3150,3080683,5095587,3808092,3151316,4723526,5070490
3151,3080683,5095587,3812886,3156218,4727610,5068786
3152,3094258,5095344,3812886,3158340,4737648,5066912
3153,3105380,5093961,3818770,3154340,4745004,5065427
3154,3115023,5091267,3823298,3144927,4745004,5063310
3155,3116851,5088087,3826543,3131393,4746996,5061313
3156,3132882,5086656,3827947,3116810,4748202,5059147
3157,3148962,5089520,3827632,3104105,4748104,5055496
3158,3159532,5096606,3827778,3097008,4749432,5050920
3159,3162237,5101678,3826518,3092350,4752262,5050920
3160,3155274,5106386,3825550,3092350,4750293,5044908
3161,3155274,5111944,3824944,3094423,4748374,5034880
3162,3155725,5111944,3823443,3105690,4745496,5022856
3163,3155224,5116725,3823443,3122492,4745348,5009858
3164,3152694,5121239,3821361,3138465,4745053,4992382
3165,3154373,5126578,3819496,3147708,4745053,4972594
3166,3162162,5130000,3818721,3153414,4745668,4958720
3167,3159632,5133980,3817583,3156828,4746775,4946136
3168,3137691,5136528,3817172,3159925,4749481,4936619
3169,3106933,5138421,3821772,3165021,4752655,4927101
3170,3120584,5139101,3828867,3173020,4755214,4927101
3171,3138793,5137984,3837027,3173020,4756764,4920992
3172,3138793,5147012,3844291,3180824,4755952,4912668
3173,3172357,5147012,3849788,3190505,4755485,4910939
3174,3193422,5162981,3851725,3198553,4755780,4909309
3175,3187811,5157618,3851725,3209892,4755903,4907483
3176,3211205,5152449,3850805,3219354,4755903,4907191
3177,3237430,5141212,3848093,3229645,4756518,4905804
3178,3247699,5124248,3844727,3236327,4755386,4902177
3179,3268013,5111168,3840926,3241643,4753787,4901204
3180,3308014,5100295,3837075,3246496,4752729,4902274
3181,3364696,5088549,3829157,3246496,4752704,4902274
3182,3417522,5083137,3824896,3248837,4751056,4903613
3183,3417522,5084933,3823104,3252812,4749137,4895897
3184,3467967,5084933,3831482,3254983,4745151,4884725
3185,3512051,5091388,3834291,3256519,4741043,4886453
3186,3547719,5097237,3834291,3257836,4736639,4875427
3187,3577976,5099712,3819690,3259908,4736639,4869683
3188,3600619,5100513,3802595,3260689,4731866,4851427
3189,3621008,5099397,3787776,3260957,4727659,4828572
3190,3637589,5094689,3779083,3259665,4723157,4793352
3191,3650589,5089398,3775354,3258397,4720057,4757377
3192,3660583,5085903,3773635,3258397,4718975,4757377
3193,3669074,5082190,3767121,3257763,4718679,4719577
3194,3669074,5079739,3755959,3256007,4719885,4679731
3195,3675712,5079739,3749155,3254397,4721976,4644292
3196,3675962,5077652,3745668,3253568,4723600,4610727
3197,3670201,5076827,3745668,3253154,4723600,4580229
3198,3661535,5075565,3747605,3252617,4728495,4554890
3199,3653645,5072386,3750753,3251812,4730341,4542331
3200,3644452,5068867,3753344,3250983,4730587,4544205
3201,3633657,5063503,3756322,3252178,4730095,4549049
3202,3618828,5061343,3760002,3252178,4729775,4551020
3203,3607181,5054305,3765112,3251373,4728520,4551020
3204,3594257,5045569,3772158,3252861,4725642,4544887
3205,3594257,5038676,3779204,3254519,4721386,4536246
3206,3580606,5038676,3782619,3254593,4715850,4530063
3207,3564000,5027804,3783756,3254349,4705000,4529114
3208,3540280,5016689,3783756,3251544,4705000,4527386
3209,3514205,5004894,3783515,3246960,4695479,4523102
3210,3487755,4990673,3785427,3241351,4689968,4522372
3211,3462457,4976815,3789423,3237327,4716391,4527483
3212,3439338,4959973,3796033,3233718,4726429,4534469
3213,3415894,4948785,3803079,3233718,4747710,4534469
3214,3393526,4936505,3810053,3224183,4767466,4542379
3215,3372612,4926627,3814605,3208624,4781514,4546177
3216,3372612,4917042,3819399,3205478,4794922,4550144
3217,3353325,4917042,3822547,3207185,4806657,4554939
3218,3336518,4908984,3825138,3214599,4806116,4558420
3219,3319661,4902747,3825138,3215745,4806116,4562363
3220,3305409,4894738,3827923,3216160,4799326,4566062
3221,3288126,4887895,3831022,3217013,4798932,4567912
3222,3272246,4880517,3832499,3216330,4802032,4569543
3223,3250580,4875323,3829569,3212892,4807051,4570809
3224,3227060,4871707,3827051,3212892,4811627,4570809
3225,3203140,4866344,3824944,3208698,4816523,4571150
3226,3180848,4864233,3822281,3204820,4820533,4571734
3227,3180848,4865543,3819617,3201528,4822551,4570371
3228,3180472,4865543,3817341,3197626,4824790,4576139
3229,3166746,4867582,3815162,3197114,4824790,4581616
3230,3150290,4867363,3815162,3198845,4833327,4589259
3231,3126269,4866878,3810610,3203016,4844349,4595417
3232,3104578,4864572,3806857,3207673,4856010,4594833
3233,3082587,4857850,3801554,3215623,4868508,4592642
3234,3064101,4855569,3796784,3215623,4879235,4593859
3235,3051001,4855350,3794774,3223817,4885951,4593859
3236,3042110,4854913,3793878,3230279,4892594,4603839
3237,3029786,4855836,3792231,3240204,4891979,4613672
3238,3029786,4854962,3790754,3251934,4894218,4628106
3239,3010149,4854962,3788551,3260323,4892644,4636479
3240,2991689,4855860,3790633,3265737,4892644,4644803
3241,2973880,4858602,3796057,3272980,4888608,4658482
3242,2932652,4886511,3796057,3281149,4882310,4665809
3243,2885011,4924395,3801941,3289928,4876578,4665760
3244,2866226,4966234,3805936,3299756,4868459,4666953
3245,2874141,5032245,3806300,3299756,4858102,4667099
3246,2885938,5083355,3801626,3306779,4844644,4667099
3247,2899013,5113522,3795888,3313388,4829169,4667391
3248,2914167,5133179,3795331,3319460,4812439,4671018
3249,2914167,5140459,3794435,3324752,4793643,4679658
3250,2935157,5140459,3798018,3328703,4774035,4694555
3251,2959227,5141261,3794338,3331580,4774035,4703341
3252,2989310,5141261,3795476,3332897,4753344,4694676
3253,3011727,5140338,3795476,3332263,4733121,4673062
3254,3012979,5132864,3796662,3330898,4712578,4639010
3255,3003762,5123059,3782134,3330898,4692207,4627448
3256,3003136,5115099,3775039,3328434,4668884,4648673
3257,3015835,5111264,3783902,3325776,4647799,4648673
3258,3040507,5111774,3788623,3322265,4625042,4679342
3259,3060519,5112187,3793636,3318704,4602875,4717434
3260,3060519,5111774,3798503,3313973,4580930,4752874
3261,3077527,5111774,3797437,3308657,4580930,4784248
3262,3101798,5113352,3790004,3302707,4560707,4820223
3263,3132005,5113715,3777485,3295903,4548258,4842982
3264,3155024,5115245,3777485,3288928,4528231,4854178
3265,3161962,5118375,3768429,3280125,4511551,4863719
3266,3159908,5124491,3763731,3280125,4509017,4876693
3267,3159282,5126845,3762860,3270200,4510862,4876693
3268,3158205,5128374,3763465,3259372,4525525,4899889
3269,3155399,5131869,3767121,3246325,4541320,4912862
3270,3153671,5134490,3771310,3235986,4550792,4921357
3271,3153671,5139804,3771892,3225841,4555467,4926152
3272,3156301,5139804,3771093,3216623,4555467,4927126
3273,3161536,5143639,3772110,3208746,4554802,4926225
3274,3170328,5149536,3776952,3204308,4551284,4923815
3275,3179495,5152740,3776952,3207820,4544076,4921649
3276,3197054,5155143,3784096,3212526,4540681,4921625
3277,3219947,5155482,3789423,3212526,4542452,4923743
3278,3245095,5155458,3793127,3211722,4547200,4923743
3279,3267011,5154900,3793006,3208259,4555983,4927539
3280,3278032,5154511,3794798,3205674,4628363,4930314
3281,3281013,5152618,3797849,3204796,4692871,4932335
3282,3281013,5152521,3801505,3211283,4742002,4933186
3283,3283017,5152521,3806760,3218257,4742002,4932578
3284,3286072,5153638,3809375,3213916,4757256,4929511
3285,3281514,5153055,3811021,3205723,4767712,4925787
3286,3276605,5151065,3811021,3202040,4777036,4918680
3287,3269391,5148832,3815065,3202040,4785893,4914955
3288,3258620,5145993,3816712,3213697,4792339,4909090
3289,3260449,5144197,3819327,3229841,4796792,4909090
3290,3270819,5143857,3820707,3242278,4801220,4904927
3291,3284970,5143081,3820707,3244302,4807666,4899232
3292,3295566,5144779,3820441,3226207,4814309,4894169
3293,3295566,5145580,3820586,3201308,4814309,4886697
3294,3294864,5145580,3822208,3183799,4816400,4879468
3295,3286598,5146381,3823370,3169630,4812882,4871289
3296,3274926,5147983,3824799,3163949,4809340,4858316
3297,3265859,5150216,3826324,3172020,4802623,4846657
3298,3262503,5151186,3826324,3172020,4793766,4833830
3299,3267788,5152375,3827293,3184384,4789338,4823850
3300,3279735,5154463,3829836,3197894,4785032,4823850
3301,3291132,5155749,3832112,3207795,4783064,4814236
3302,3301101,5155555,3830030,3212624,4780136,4806885
3303,3310819,5156283,3827414,3212209,4777577,4799486
3304,3310819,5155894,3828819,3210844,4777577,4795226
3305,3318960,5155894,3830247,3206259,4776298,4797392
3306,3318609,5156210,3827075,3200723,4775043,4798853
3307,3304808,5157593,3819835,3199138,4772411,4798025
3308,3293361,5159681,3815888,3199138,4768450,4795031
3309,3289354,5158127,3815888,3201870,4763579,4792938
3310,3315353,5154754,3812692,3210697,4760183,4786318
3311,3368554,5159413,3810586,3222403,4757133,4786318
3312,3420302,5174751,3808237,3235596,4755976,4792597
3313,3447153,5177567,3806034,3248130,4753910,4794447
3314,3477911,5173805,3799665,3259299,4753197,4801043
3315,3477911,5165456,3795500,3266054,4753197,4801311
3316,3461455,5165456,3794895,3270931,4751277,4799948
3317,3491713,5153055,3798382,3275760,4748670,4796297
3318,3535120,5142255,3800682,3275516,4746923,4793595
3319,3570111,5132330,3796299,3275516,4745201,4789774
3320,3617075,5124928,3796299,3273906,4742814,4786464
3321,3656225,5118982,3790972,3273858,4740920,4786464
3322,3699757,5116239,3785718,3275491,4737352,4780889
3323,3751330,5118035,3790100,3274662,4732235,4784638
3324,3788025,5124054,3793103,3271760,4726773,4775608
3325,3807487,5124758,3781553,3269907,4726773,4741775
3326,3807487,5121506,3772570,3265908,4720647,4696770
3327,3815752,5121506,3764361,3265322,4715161,4649890
3328,3819910,5114128,3751237,3266639,4709035,4601502
3329,3823693,5109347,3742084,3266054,4703721,4565941
3330,3826673,5105051,3742012,3266054,4697988,4532449
3331,3827349,5099567,3742012,3266371,4694593,4500514
3332,3825696,5093839,3745741,3267298,4689895,4500514
3333,3820161,5089568,3749155,3265103,4686352,4463298
3334,3820461,5086656,3749978,3264054,4683006,4422772
3335,3816829,5084059,3749905,3260494,4685170,4398796
3336,3806309,5079739,3754917,3254641,4685170,4386943
3337,3806309,5073527,3760245,3250715,4686278,4390959
3338,3791056,5073527,3761504,3250203,4688590,4399064
3339,3769390,5066124,3761528,3252154,4694102,4414277
3340,3744317,5056733,3763369,3252154,4703499,4417489
3341,3714561,5047608,3767775,3259616,4714768,4417855
3342,3683576,5038385,3767775,3266883,4725371,4419924
3343,3648836,5029745,3771795,3276906,4735458,4419924
3344,3613143,5021057,3774216,3285856,4748079,4425351
3345,3572366,5011180,3774701,3292416,4759692,4431704
3346,3531738,5004506,3773829,3296049,4774453,4436426
3347,3531738,4997128,3775863,3297439,4774453,4439712
3348,3492238,4991085,3784798,3296805,4787419,4444313
3349,3453791,4991085,3791796,3293952,4823043,4450300
3350,3415067,4984994,3798406,3288855,4844447,4453805
3351,3384960,4978902,3805452,3288855,4853083,4458381
3352,3359086,4969874,3813588,3286002,4854485,4467387
3353,3330406,4961575,3813588,3285320,4854682,4475225
3354,3306411,4955144,3820755,3285368,4859873,4475225
3355,3284995,4950702,3826446,3284466,4863686,4485375
3356,3273824,4949901,3829763,3280247,4857461,4489342
3357,3268364,4950168,3830151,3270834,4857461,4494526
3358,3268364,4948906,3829811,3264396,4857486,4500709
3359,3259347,4947814,3828552,3259518,4857683,4501975
3360,3246698,4947814,3826736,3253178,4857954,4502169
3361,3228413,4949998,3826373,3253178,4859332,4504749
3362,3214211,4949586,3826857,3245204,4863686,4508303
3363,3195701,4955119,3826882,3235791,4866343,4511200
3364,3176665,4963031,3826252,3225524,4869837,4511200
3365,3164517,4969413,3826252,3214672,4870280,4515216
3366,3153897,4975238,3825235,3207527,4872272,4522761
3367,3140772,4980383,3823225,3201870,4873749,4532327
3368,3131329,4985746,3820101,3201674,4873749,4541869
3369,3131329,4991328,3817002,3207137,4876012,4549536
3370,3122136,5001181,3812281,3216257,4879481,4562071
3371,3113595,5001181,3805331,3225207,4883885,4571929
3372,3104603,5011956,3795864,3225207,4889470,4582444
3373,3096538,5021057,3784919,3232401,4893480,4591766
3374,3090401,5025377,3775427,3238303,4897244,4596950
3375,3083112,5026202,3767339,3243911,4898474,4596950
3376,3069236,5025474,3767339,3248520,4894759,4596196
3377,3056512,5024722,3760463,3251812,4893283,4592642
3378,3042511,5022513,3753440,3259104,4889543,4586557
3379,3047545,5022076,3748743,3269663,4889543,4571904
3380,3047545,5050738,3747121,3279564,4886936,4552359
3381,3021019,5085224,3748501,3288489,4885361,4515435
3382,2983298,5085224,3752738,3288489,4880490,4508741
3383,2930548,5126748,3758332,3297878,4874979,4530550
3384,2915369,5163612,3762618,3302658,4867918,4550363
3385,2917423,5185357,3765596,3305389,4858741,4569811
3386,2917724,5196812,3762981,3308364,4849072,4569811
3387,2931449,5194385,3762981,3311852,4835738,4586606
3388,2942521,5187371,3759010,3316729,4820902,4603668
3389,2951413,5191303,3766323,3323996,4820902,4612528
3390,2962609,5199457,3781384,3326654,4804444,4624138
3391,2962609,5197273,3779422,3326800,4786065,4628885
3392,2980368,5181061,3765911,3325167,4766802,4652567
3393,2992966,5181061,3755015,3325167,4745520,4688202
3394,2985327,5163370,3755983,3322484,4723280,4656389
3395,2979892,5153856,3759204,3319460,4697398,4634410
3396,2987781,5149584,3760656,3316436,4670630,4635116
3397,3005465,5145362,3764531,3312778,4638893,4635116
3398,3025152,5143711,3764531,3308340,4606025,4640836
3399,3042010,5141406,3764918,3302024,4573500,4652324
3400,3061622,5141139,3759470,3294172,4573500,4693703
3401,3081610,5142959,3751867,3285222,4541911,4732428
3402,3081610,5143590,3747847,3277272,4511182,4778285
3403,3098391,5143275,3748791,3267810,4483455,4817862
3404,3107934,5143275,3752230,3267810,4458680,4839939
3405,3107985,5144876,3757048,3258421,4439884,4853448
3406,3103877,5147473,3757509,3245960,4427189,4866786
3407,3099944,5150822,3755571,3237034,4419833,4881147
3408,3097064,5153905,3755644,3228670,4422096,4881147
3409,3095811,5156016,3755644,3221598,4427460,4889374
3410,3091578,5157278,3759809,3214599,4438014,4891103
3411,3085542,5156768,3768865,3208551,4438014,4892611
3412,3082937,5155676,3778091,3200211,4449627,4893877
3413,3082937,5155482,3786952,3195504,4460501,4894485
3414,3080332,5155166,3793321,3195504,4467340,4891492
3415,3074521,5155166,3800295,3191700,4475853,4891249
3416,3067533,5153201,3809399,3189383,4479986,4894510
3417,3059743,5150871,3816252,3191018,4484415,4899305
3418,3055009,5146915,3819593,3198943,4491155,4899305
3419,3054383,5145313,3819109,3213819,4505351,4903930
3420,3057689,5143906,3819109,3225597,4559993,4905730
3421,3058891,5144270,3816663,3228109,4559993,4908359
3422,3053581,5146090,3814944,3229231,4611068,4911962
3423,3040031,5145532,3814363,3228524,4648956,4913568
3424,3040031,5144585,3815065,3222549,4686893,4913957
3425,3026680,5141600,3816324,3222549,4711741,4912643
3426,3019416,5141600,3816881,3209892,4715284,4914371
3427,3013079,5139804,3817922,3193919,4711471,4912838
3428,3011802,5139368,3818600,3184872,4708346,4916976
